forecast_run_id,series_id,product_id,distribution_region,forecast_date,forecast_horizon_day,selected_model,point_forecast,lower_bound,upper_bound,prediction_interval_level,training_end_date,data_sufficiency_status,synthetic_data_flag
FORECAST-6357daf22de3ea43,PROD-007|central,PROD-007,central,2026-01-15,1,random_forest,0.000000,0.000000,142.294932,0.900000,2026-01-14,controlled_sample_smoke_only,True
FORECAST-6357daf22de3ea43,PROD-007|central,PROD-007,central,2026-01-16,2,random_forest,0.000000,0.000000,142.294932,0.900000,2026-01-14,controlled_sample_smoke_only,True
FORECAST-6357daf22de3ea43,PROD-007|central,PROD-007,central,2026-01-17,3,random_forest,0.000000,0.000000,142.294932,0.900000,2026-01-14,controlled_sample_smoke_only,True
FORECAST-6357daf22de3ea43,PROD-007|central,PROD-007,central,2026-01-18,4,random_forest,0.000000,0.000000,142.294932,0.900000,2026-01-14,controlled_sample_smoke_only,True
FORECAST-6357daf22de3ea43,PROD-007|central,PROD-007,central,2026-01-19,5,random_forest,0.000000,0.000000,142.294932,0.900000,2026-01-14,controlled_sample_smoke_only,True
FORECAST-6357daf22de3ea43,PROD-007|central,PROD-007,central,2026-01-20,6,random_forest,0.000000,0.000000,142.294932,0.900000,2026-01-14,controlled_sample_smoke_only,True
FORECAST-6357daf22de3ea43,PROD-007|central,PROD-007,central,2026-01-21,7,random_forest,0.000000,0.000000,142.294932,0.900000,2026-01-14,controlled_sample_smoke_only,True
FORECAST-6357daf22de3ea43,PROD-008|west,PROD-008,west,2026-01-15,1,random_forest,242.826583,100.531652,385.121515,0.900000,2026-01-14,controlled_sample_smoke_only,True
FORECAST-6357daf22de3ea43,PROD-008|west,PROD-008,west,2026-01-16,2,random_forest,242.826583,100.531652,385.121515,0.900000,2026-01-14,controlled_sample_smoke_only,True
FORECAST-6357daf22de3ea43,PROD-008|west,PROD-008,west,2026-01-17,3,random_forest,242.826583,100.531652,385.121515,0.900000,2026-01-14,controlled_sample_smoke_only,True
FORECAST-6357daf22de3ea43,PROD-008|west,PROD-008,west,2026-01-18,4,random_forest,242.826583,100.531652,385.121515,0.900000,2026-01-14,controlled_sample_smoke_only,True
FORECAST-6357daf22de3ea43,PROD-008|west,PROD-008,west,2026-01-19,5,random_forest,242.826583,100.531652,385.121515,0.900000,2026-01-14,controlled_sample_smoke_only,True
FORECAST-6357daf22de3ea43,PROD-008|west,PROD-008,west,2026-01-20,6,random_forest,242.826583,100.531652,385.121515,0.900000,2026-01-14,controlled_sample_smoke_only,True
FORECAST-6357daf22de3ea43,PROD-008|west,PROD-008,west,2026-01-21,7,random_forest,242.826583,100.531652,385.121515,0.900000,2026-01-14,controlled_sample_smoke_only,True
